Model,mean,std,min,median,max
P_Logistic,0.5594781592816634,3.333998079278064e-16,0.5594781592816633,0.5594781592816633,0.5594781592816633
P_SVM,0.5663743289577111,0.021992517336650332,0.4896287535816368,0.5697546895829624,0.6293163997229568
P_RF,0.5611576536122309,0.05975600531219007,0.3766495254593137,0.5627104592641623,0.7373041183614963
P_XGB,0.6662447902405572,0.1992709258519651,0.08886910229921341,0.7016901969909668,0.9827083945274353
