Candidate,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
XGBoost Standalone,415.0,0.5060240963855421,0.7903614457831325,0.5228915662650603,0.5193960511033682,0.5375145180023229,0.5422227916466651,0.4769440342211132,0.5182926829268293,0.8095238095238095,0.047646756853406746,0.30502414990107674,0.8581431061783346
Development-Skill-Weighted Voting,415.0,0.5060240963855421,0.8602409638554217,0.4963855421686747,0.49204413472706154,0.5324506387921022,0.5362039148231492,0.41835824598815724,0.5014005602240896,0.8523809523809524,-0.02294330025850553,0.26157302892855133,0.7179041371064896
Equal-Weight Voting: Four Models,415.0,0.5060240963855421,0.8867469879518072,0.4939759036144578,0.48931475029036003,0.5282229965156795,0.5327939205267251,0.40167243367935407,0.5,0.8761904761904762,-0.03371540734612128,0.2581583651172773,0.7102167366283384
Equal-Weight Voting: Three Models,415.0,0.5060240963855421,0.8530120481927711,0.4987951807228916,0.494541231126597,0.5282229965156795,0.5327939205267251,0.42462539327041005,0.5028248587570622,0.8476190476190476,-0.01541504268059694,0.262103948596126,0.7191327875431801
Logistic Blending: Four Models,415.0,0.5060240963855421,0.18313253012048192,0.4795180722891566,0.48333333333333334,0.52,0.515842589917522,0.4238482106129165,0.4605263157894737,0.16666666666666666,-0.043088232346000135,0.2556787981682728,0.7050742746824276
Logistic Blending: Three Models,415.0,0.5060240963855421,0.18313253012048192,0.4795180722891566,0.48333333333333334,0.52,0.515842589917522,0.4238482106129165,0.4605263157894737,0.16666666666666666,-0.043088232346000135,0.25567879816827277,0.7050742746824276
