Model,Observations,Mean_Probability,Probability_Standard_Deviation,Minimum_Probability,Probability_05_Percentile,Median_Probability,Probability_95_Percentile,Maximum_Probability,Predicted_Positive_Rate
Dummy Prior,1250,0.5482813658408945,0.005669361701377909,0.5392670157068062,0.5392670157068062,0.5493096646942801,0.5555555555555556,0.5555555555555556,1.0
Calibrated RBF SVM,1250,0.5333223230178258,0.04198309392201752,0.3867936482527991,0.4422483584541912,0.5505453216796732,0.5755602392341752,0.6032143995577713,0.8128
Random Forest,1250,0.5046248806561793,0.07545233352543038,0.27647878651497376,0.37866575983431616,0.5044113678867498,0.6333065460054167,0.7374581837377124,0.5176
XGBoost,1250,0.504603763371706,0.14413063776584106,0.12367447465658188,0.26788161844015124,0.5088203549385071,0.7375716418027878,0.8765825033187866,0.5208
Elastic-Net Logistic,1250,0.44711039126435526,0.11897766644481107,0.10338722132203727,0.23708507362263934,0.4423749098113342,0.6499008939719139,0.8582294766761516,0.2912
