Threshold,Distance from 0.50,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
0.3,0.2,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.31,0.19,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.32,0.18,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.33,0.16999999999999998,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.34,0.15999999999999998,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.35,0.15000000000000002,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.36,0.14,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.37,0.13,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.38,0.12,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.39,0.10999999999999999,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.4,0.09999999999999998,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.2581583651172773,0.7102167366283384
0.41,0.09000000000000002,415.0,0.5060240963855421,0.9951807228915662,0.5060240963855421,0.5000580720092915,0.5282229965156795,0.5327939205267251,0.3403044331231923,0.5060532687651331,0.9952380952380953,0.0008384813414416452,0.2581583651172773,0.7102167366283384
0.42,0.08000000000000002,415.0,0.5060240963855421,0.9951807228915662,0.5060240963855421,0.5000580720092915,0.5282229965156795,0.5327939205267251,0.3403044331231923,0.5060532687651331,0.9952380952380953,0.0008384813414416452,0.2581583651172773,0.7102167366283384
0.43,0.07,415.0,0.5060240963855421,0.9927710843373494,0.5036144578313253,0.49767711962833916,0.5282229965156795,0.5327939205267251,0.33921283700222604,0.5048543689320388,0.9904761904761905,-0.027417899638780135,0.2581583651172773,0.7102167366283384
0.44,0.06,415.0,0.5060240963855421,0.9783132530120482,0.5084337349397591,0.5026713124274099,0.5282229965156795,0.5327939205267251,0.3577800703968928,0.5073891625615764,0.9809523809523809,0.018338211894626647,0.2581583651172773,0.7102167366283384
0.45,0.04999999999999999,415.0,0.5060240963855421,0.9734939759036144,0.5084337349397591,0.5027293844367015,0.5282229965156795,0.5327939205267251,0.3616539992761491,0.5074257425742574,0.9761904761904762,0.016990034441054423,0.2581583651172773,0.7102167366283384
0.46,0.03999999999999998,415.0,0.5060240963855421,0.9566265060240964,0.5060240963855421,0.5005226480836237,0.5282229965156795,0.5327939205267251,0.371495482450632,0.5062972292191436,0.9571428571428572,0.002565632391253477,0.2581583651172773,0.7102167366283384
0.47,0.030000000000000027,415.0,0.5060240963855421,0.9397590361445783,0.4987951807228916,0.4934959349593496,0.5282229965156795,0.5327939205267251,0.3744927536231884,0.5025641025641026,0.9333333333333333,-0.027333745172998258,0.2581583651172773,0.7102167366283384
