Fold,Calibrated RBF SVM,Dummy Prior,Elastic-Net Logistic,Random Forest,XGBoost
1,0.5069151738672286,0.5,0.4542939936775553,0.5429399367755532,0.609786617492097
2,0.48176682074987165,0.5,0.45390344119157683,0.480803800719055,0.49518489984591674
3,0.47777557624991746,0.5,0.5065715606631003,0.47790766792153755,0.46172643814807474
4,0.5368186582809225,0.5,0.4847353249475891,0.4841457023060797,0.490041928721174
5,0.5369458128078818,0.5,0.48019704433497534,0.5524466338259442,0.5145484400656815
