Threshold,Distance from 0.50,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
0.3,0.2,415.0,0.5060240963855421,0.9903614457831326,0.5012048192771085,0.4952961672473868,0.52,0.515842589917522,0.33811802232854865,0.5036496350364964,0.9857142857142858,-0.04814126951657079,0.2556787981682728,0.7050742746824276
0.31,0.19,415.0,0.5060240963855421,0.980722891566265,0.5012048192771085,0.4954123112659698,0.52,0.515842589917522,0.34633734334695365,0.5036855036855037,0.9761904761904762,-0.03336324768413779,0.2556787981682728,0.7050742746824276
0.32,0.18,415.0,0.5060240963855421,0.9662650602409638,0.4963855421686747,0.4907665505226481,0.52,0.515842589917522,0.35179995366529904,0.5012468827930174,0.9571428571428572,-0.05113807156662769,0.2556787981682728,0.7050742746824276
0.33,0.16999999999999998,415.0,0.5060240963855421,0.946987951807229,0.5060240963855421,0.5006387921022067,0.52,0.515842589917522,0.3784747335276627,0.5063613231552163,0.9476190476190476,0.002850811460316869,0.2556787981682728,0.7050742746824276
0.34,0.15999999999999998,415.0,0.5060240963855421,0.9301204819277108,0.5084337349397591,0.5032520325203252,0.52,0.515842589917522,0.3929616245052487,0.5077720207253886,0.9333333333333333,0.012754951223749051,0.2556787981682728,0.7050742746824276
0.35,0.15000000000000002,415.0,0.5060240963855421,0.908433734939759,0.5108433734939759,0.5059233449477352,0.52,0.515842589917522,0.4093914092021228,0.5092838196286472,0.9142857142857143,0.020536249156924574,0.2556787981682728,0.7050742746824276
0.36,0.14,415.0,0.5060240963855421,0.8722891566265061,0.5132530120481927,0.5087688734030198,0.52,0.515842589917522,0.43195370520951915,0.511049723756906,0.8809523809523809,0.026270488808252675,0.2556787981682728,0.7050742746824276
0.37,0.13,415.0,0.5060240963855421,0.8530120481927711,0.5132530120481927,0.5090011614401858,0.52,0.515842589917522,0.44122273769530207,0.5112994350282486,0.861904761904762,0.02541842144140985,0.2556787981682728,0.7050742746824276
0.38,0.12,415.0,0.5060240963855421,0.8240963855421687,0.5228915662650603,0.5189895470383276,0.52,0.515842589917522,0.4645370659993744,0.5175438596491229,0.8428571428571429,0.04987198978896204,0.2556787981682728,0.7050742746824276
0.39,0.10999999999999999,415.0,0.5060240963855421,0.7734939759036145,0.5349397590361445,0.5316492450638792,0.52,0.515842589917522,0.49552494504594724,0.5264797507788161,0.8047619047619048,0.07560725759045467,0.2556787981682728,0.7050742746824276
0.4,0.09999999999999998,415.0,0.5060240963855421,0.7373493975903614,0.5518072289156627,0.5489547038327526,0.52,0.515842589917522,0.5235890979114206,0.5392156862745098,0.7857142857142857,0.11123386784528588,0.2556787981682728,0.7050742746824276
0.41,0.09000000000000002,415.0,0.5060240963855421,0.7180722891566265,0.5469879518072289,0.5443670150987224,0.52,0.515842589917522,0.5230351640827505,0.5369127516778524,0.7619047619047619,0.09859972918508435,0.2556787981682728,0.7050742746824276
0.42,0.08000000000000002,415.0,0.5060240963855421,0.6650602409638554,0.5373493975903615,0.5353658536585366,0.52,0.515842589917522,0.5233993683606086,0.532608695652174,0.7,0.07492707481972563,0.2556787981682728,0.7050742746824276
0.43,0.07,415.0,0.5060240963855421,0.6144578313253012,0.5397590361445783,0.5383855981416957,0.52,0.515842589917522,0.5329798202975401,0.5372549019607843,0.6523809523809524,0.07885964258318857,0.2556787981682728,0.7050742746824276
0.44,0.06,415.0,0.5060240963855421,0.5710843373493976,0.5397590361445783,0.5389082462253194,0.52,0.515842589917522,0.5370062090758816,0.540084388185654,0.6095238095238096,0.07860932280559778,0.2556787981682728,0.7050742746824276
0.45,0.04999999999999999,415.0,0.5060240963855421,0.5084337349397591,0.5204819277108433,0.520383275261324,0.52,0.515842589917522,0.5203816736260737,0.5260663507109005,0.5285714285714286,0.04076939169423899,0.2556787981682728,0.7050742746824276
0.46,0.03999999999999998,415.0,0.5060240963855421,0.43855421686746987,0.5036144578313253,0.504355400696864,0.52,0.515842589917522,0.5020850806075855,0.510989010989011,0.44285714285714284,0.008776695584630793,0.2556787981682728,0.7050742746824276
0.47,0.030000000000000027,415.0,0.5060240963855421,0.3686746987951807,0.5060240963855421,0.5076074332171894,0.52,0.515842589917522,0.49814477262404067,0.5163398692810458,0.3761904761904762,0.015767337399393642,0.2556787981682728,0.7050742746824276
0.48,0.020000000000000018,415.0,0.5060240963855421,0.3132530120481928,0.5036144578313253,0.5058652729384436,0.52,0.515842589917522,0.4868547418967587,0.5153846153846153,0.319047619047619,0.012644763007677398,0.2556787981682728,0.7050742746824276
0.49,0.010000000000000009,415.0,0.5060240963855421,0.25060240963855424,0.4891566265060241,0.4921602787456446,0.52,0.515842589917522,0.45699402557645785,0.49038461538461536,0.24285714285714285,-0.01808924041430098,0.2556787981682728,0.7050742746824276
0.5,0.0,415.0,0.5060240963855421,0.18313253012048192,0.4795180722891566,0.48333333333333334,0.52,0.515842589917522,0.4238482106129165,0.4605263157894737,0.16666666666666666,-0.043088232346000135,0.2556787981682728,0.7050742746824276
0.51,0.010000000000000009,415.0,0.5060240963855421,0.13253012048192772,0.4819277108433735,0.48635307781649245,0.52,0.515842589917522,0.40407413591584573,0.45454545454545453,0.11904761904761904,-0.040245626609283595,0.2556787981682728,0.7050742746824276
0.52,0.020000000000000018,415.0,0.5060240963855421,0.10120481927710843,0.4795180722891566,0.4843205574912892,0.52,0.515842589917522,0.38457736035590706,0.42857142857142855,0.08571428571428572,-0.0519838127329853,0.2556787981682728,0.7050742746824276
0.53,0.030000000000000027,415.0,0.5060240963855421,0.07228915662650602,0.4939759036144578,0.4991289198606272,0.52,0.515842589917522,0.3845338983050847,0.5,0.07142857142857142,-0.0033634400667715077,0.2556787981682728,0.7050742746824276
0.54,0.040000000000000036,415.0,0.5060240963855421,0.04578313253012048,0.4963855421686747,0.5018583042973287,0.52,0.515842589917522,0.36979125039054267,0.5263157894736842,0.047619047619047616,0.008890148415803939,0.2556787981682728,0.7050742746824276
0.55,0.050000000000000044,415.0,0.5060240963855421,0.033734939759036145,0.4987951807228916,0.5044134727061557,0.52,0.515842589917522,0.36409712399811406,0.5714285714285714,0.0380952380952381,0.02444335496266481,0.2556787981682728,0.7050742746824276
0.56,0.06000000000000005,415.0,0.5060240963855421,0.01927710843373494,0.4939759036144578,0.4997677119628339,0.52,0.515842589917522,0.3467799964022306,0.5,0.01904761904761905,-0.0016892783637538118,0.2556787981682728,0.7050742746824276
0.57,0.06999999999999995,415.0,0.5060240963855421,0.014457831325301205,0.4939759036144578,0.4998257839721254,0.52,0.515842589917522,0.3428791169019182,0.5,0.014285714285714285,-0.001459376679224761,0.2556787981682728,0.7050742746824276
0.58,0.07999999999999996,415.0,0.5060240963855421,0.004819277108433735,0.4939759036144578,0.49994192799070847,0.52,0.515842589917522,0.33481406851071627,0.5,0.004761904761904762,-0.0008384813414416452,0.2556787981682728,0.7050742746824276
0.59,0.08999999999999997,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.6,0.09999999999999998,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.61,0.10999999999999999,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.62,0.12,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.63,0.13,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.64,0.14,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.65,0.15000000000000002,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.66,0.16000000000000003,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.67,0.17000000000000004,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.68,0.18000000000000005,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.69,0.18999999999999995,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.7,0.19999999999999996,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.71,0.20999999999999996,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.72,0.21999999999999997,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.73,0.22999999999999998,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.74,0.24,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.75,0.25,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.76,0.26,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.77,0.27,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.78,0.28,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.79,0.29000000000000004,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.8,0.30000000000000004,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.81,0.31000000000000005,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.82,0.31999999999999995,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.83,0.32999999999999996,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.84,0.33999999999999997,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.85,0.35,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.86,0.36,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.87,0.37,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.88,0.38,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.89,0.39,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
0.9,0.4,415.0,0.5060240963855421,0.0,0.4939759036144578,0.5,0.52,0.515842589917522,0.33064516129032256,0.0,0.0,0.0,0.2556787981682728,0.7050742746824276
