Feature_A,Feature_B,Correlation,Absolute_Correlation,Group_A,Group_B
STOCHASTIC_K_14,WILLIAMS_R_14,1.0,1.0,Momentum,Momentum
EMA_12_TO_26,MACD_NORMALISED,0.9999493663110443,0.9999493663110443,Trend,Trend
PARKINSON_VOLATILITY_21,GARMAN_KLASS_VOLATILITY_21,0.9940512947240051,0.9940512947240051,Volatility,Volatility
SMA_10_TO_50,MACD_SIGNAL_NORMALISED,0.9917035129022989,0.9917035129022989,Trend,Trend
PARKINSON_VOLATILITY_10,GARMAN_KLASS_VOLATILITY_10,0.9904229958411174,0.9904229958411174,Volatility,Volatility
VOLUME_RATIO_60,VOLUME_Z_60,0.9845962229887655,0.9845962229887655,Volume and Liquidity,Volume and Liquidity
VOLUME_RATIO_20,VOLUME_Z_20,0.9819458124336076,0.9819458124336076,Volume and Liquidity,Volume and Liquidity
VOLATILITY_63,DOWNSIDE_VOLATILITY_63,0.9813276480520317,0.9813276480520317,Volatility,Volatility
VOLATILITY_21,PARKINSON_VOLATILITY_21,0.9560467663376335,0.9560467663376335,Volatility,Volatility
