Fold,Calibrated RBF SVM,Elastic-Net Logistic,Random Forest,XGBoost
1,0.5169257112750263,0.5,0.5634220231822971,0.5964172813487882
2,0.5225988700564972,0.5,0.5185541859270673,0.5028890600924498
3,0.5448120995971204,0.5,0.4755960636681857,0.5096096691103627
4,0.5064203354297694,0.5,0.5018343815513627,0.5484145702306079
5,0.5466009852216749,0.5,0.5439737274220033,0.5668308702791461
