Threshold,Distance from 0.50,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
0.3,0.2,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.262103948596126,0.7191327875431801
0.31,0.19,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.262103948596126,0.7191327875431801
0.32,0.18,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.262103948596126,0.7191327875431801
0.33,0.16999999999999998,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.262103948596126,0.7191327875431801
0.34,0.15999999999999998,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.262103948596126,0.7191327875431801
0.35,0.15000000000000002,415.0,0.5060240963855421,1.0,0.5060240963855421,0.5,0.5282229965156795,0.5327939205267251,0.336,0.5060240963855421,1.0,0.0,0.262103948596126,0.7191327875431801
0.36,0.14,415.0,0.5060240963855421,0.9951807228915662,0.5060240963855421,0.5000580720092915,0.5282229965156795,0.5327939205267251,0.3403044331231923,0.5060532687651331,0.9952380952380953,0.0008384813414416452,0.262103948596126,0.7191327875431801
0.37,0.13,415.0,0.5060240963855421,0.9951807228915662,0.5060240963855421,0.5000580720092915,0.5282229965156795,0.5327939205267251,0.3403044331231923,0.5060532687651331,0.9952380952380953,0.0008384813414416452,0.262103948596126,0.7191327875431801
0.38,0.12,415.0,0.5060240963855421,0.9927710843373494,0.5036144578313253,0.49767711962833916,0.5282229965156795,0.5327939205267251,0.33921283700222604,0.5048543689320388,0.9904761904761905,-0.027417899638780135,0.262103948596126,0.7191327875431801
0.39,0.10999999999999999,415.0,0.5060240963855421,0.9903614457831326,0.5060240963855421,0.5001161440185831,0.5282229965156795,0.5327939205267251,0.344513017281896,0.5060827250608273,0.9904761904761905,0.0011886733213968095,0.262103948596126,0.7191327875431801
0.4,0.09999999999999998,415.0,0.5060240963855421,0.9783132530120482,0.5084337349397591,0.5026713124274099,0.5282229965156795,0.5327939205267251,0.3577800703968928,0.5073891625615764,0.9809523809523809,0.018338211894626647,0.262103948596126,0.7191327875431801
0.41,0.09000000000000002,415.0,0.5060240963855421,0.9759036144578314,0.5108433734939759,0.5051103368176538,0.5282229965156795,0.5327939205267251,0.362866326337682,0.508641975308642,0.9809523809523809,0.03332257752222652,0.262103948596126,0.7191327875431801
0.42,0.08000000000000002,415.0,0.5060240963855421,0.9686746987951808,0.5036144578313253,0.49796747967479676,0.5282229965156795,0.5327939205267251,0.35922228218504526,0.5049751243781094,0.9666666666666667,-0.011667203370366173,0.262103948596126,0.7191327875431801
0.43,0.07,415.0,0.5060240963855421,0.9542168674698795,0.5036144578313253,0.4981416957026713,0.5282229965156795,0.5327939205267251,0.3702115747289015,0.5050505050505051,0.9523809523809523,-0.008890148415803939,0.262103948596126,0.7191327875431801
0.44,0.06,415.0,0.5060240963855421,0.9397590361445783,0.4987951807228916,0.4934959349593496,0.5282229965156795,0.5327939205267251,0.3744927536231884,0.5025641025641026,0.9333333333333333,-0.027333745172998258,0.262103948596126,0.7191327875431801
0.45,0.04999999999999999,415.0,0.5060240963855421,0.9253012048192771,0.4843373493975904,0.47921022067363533,0.5282229965156795,0.5327939205267251,0.36647548935684526,0.4947916666666667,0.9047619047619048,-0.07907150299817196,0.262103948596126,0.7191327875431801
0.46,0.03999999999999998,415.0,0.5060240963855421,0.9180722891566265,0.4867469879518072,0.4817073170731707,0.5282229965156795,0.5327939205267251,0.3741902597540514,0.49606299212598426,0.9,-0.06669480910914516,0.262103948596126,0.7191327875431801
0.47,0.030000000000000027,415.0,0.5060240963855421,0.9060240963855422,0.4939759036144578,0.48908246225319396,0.5282229965156795,0.5327939205267251,0.39049124377552735,0.5,0.8952380952380953,-0.03741235526552151,0.262103948596126,0.7191327875431801
0.48,0.020000000000000018,415.0,0.5060240963855421,0.8867469879518072,0.4939759036144578,0.48931475029036003,0.5282229965156795,0.5327939205267251,0.40167243367935407,0.5,0.8761904761904762,-0.03371540734612128,0.262103948596126,0.7191327875431801
0.49,0.010000000000000009,415.0,0.5060240963855421,0.8722891566265061,0.4939759036144578,0.48948896631823463,0.5282229965156795,0.5327939205267251,0.40945682224751995,0.5,0.861904761904762,-0.031489791220488304,0.262103948596126,0.7191327875431801
0.5,0.0,415.0,0.5060240963855421,0.8530120481927711,0.4987951807228916,0.494541231126597,0.5282229965156795,0.5327939205267251,0.42462539327041005,0.5028248587570622,0.8476190476190476,-0.01541504268059694,0.262103948596126,0.7191327875431801
0.51,0.010000000000000009,415.0,0.5060240963855421,0.8313253012048193,0.5012048192771085,0.497212543554007,0.5282229965156795,0.5327939205267251,0.4371498771498772,0.5043478260869565,0.8285714285714286,-0.007443309817438127,0.262103948596126,0.7191327875431801
0.52,0.020000000000000018,415.0,0.5060240963855421,0.8168674698795181,0.5108433734939759,0.507026713124274,0.5282229965156795,0.5327939205267251,0.4539084326727988,0.5103244837758112,0.8238095238095238,0.018166118863644658,0.262103948596126,0.7191327875431801
0.53,0.030000000000000027,415.0,0.5060240963855421,0.7734939759036145,0.5060240963855421,0.5027293844367016,0.5282229965156795,0.5327939205267251,0.46415862038559164,0.5077881619937694,0.7761904761904762,0.006520258911470402,0.262103948596126,0.7191327875431801
0.54,0.040000000000000036,415.0,0.5060240963855421,0.7228915662650602,0.5277108433734939,0.5250290360046458,0.5282229965156795,0.5327939205267251,0.501593137254902,0.5233333333333333,0.7476190476190476,0.055917938108620516,0.262103948596126,0.7191327875431801
0.55,0.050000000000000044,415.0,0.5060240963855421,0.6939759036144578,0.5373493975903615,0.5350174216027874,0.5282229965156795,0.5327939205267251,0.5180722891566265,0.53125,0.7285714285714285,0.07598058521227448,0.262103948596126,0.7191327875431801
0.56,0.06000000000000005,415.0,0.5060240963855421,0.6674698795180722,0.5301204819277109,0.5281068524970964,0.5282229965156795,0.5327939205267251,0.5155381014242013,0.5270758122743683,0.6952380952380952,0.0596553448191196,0.262103948596126,0.7191327875431801
0.57,0.06999999999999995,415.0,0.5060240963855421,0.6337349397590362,0.5397590361445783,0.5381533101045296,0.5282229965156795,0.5327939205267251,0.5305902487845032,0.5361216730038023,0.6714285714285714,0.07918613168187617,0.262103948596126,0.7191327875431801
