Model,Mean_ROC_AUC,Std_ROC_AUC,Minimum_ROC_AUC,Maximum_ROC_AUC,Mean_Balanced_Accuracy,Mean_Macro_F1,Mean_Brier_Score,Mean_Log_Loss,Mean_Predicted_Positive_Rate
XGBoost,0.544832290212271,0.039235344894036316,0.5028890600924498,0.5964172813487882,0.5390153612307037,0.5294253161430378,0.28551501211580443,0.7963257172332586,0.5399999999999999
Calibrated RBF SVM,0.5274716003160176,0.017640445794711725,0.5064203354297694,0.5466009852216749,0.5027858084828047,0.39574125453324427,0.2456354514391707,0.6843957551948836,0.9512
Random Forest,0.5206760763501832,0.03450259389273092,0.4755960636681857,0.5634220231822971,0.515073221305144,0.49633138114161823,0.25262885891058184,0.6986694882436469,0.5488
Elastic-Net Logistic,0.5,0.0,0.5,0.5,0.5,0.3634169052179762,0.24554622705959947,0.6842194511915916,1.0
