Model,Elastic-Net Logistic,Calibrated RBF SVM,Random Forest,XGBoost
Elastic-Net Logistic,1.0,0.02325116883646185,0.42782867291435067,0.3727013150088416
Calibrated RBF SVM,0.02325116883646185,1.0,0.31524216371119673,0.178104435284407
Random Forest,0.42782867291435067,0.31524216371119673,1.0,0.7858674853551906
XGBoost,0.3727013150088416,0.178104435284407,0.7858674853551906,1.0
