,Observations,Mean Daily Return,Median Daily Return,Daily Volatility,Annualised Mean Return,Annualised Volatility,Skewness,Excess Kurtosis,Minimum Daily Return,Maximum Daily Return,First Quartile,Third Quartile,Positive Return Rate
Base Training,2015.0,0.0005430026570181378,0.00070749504730109,0.010753679291321872,0.13683666956857074,0.17070936650269788,-1.0350703068718445,19.07713522529805,-0.11588670435580446,0.08673086554268049,-0.0031217075316788316,0.005342310616361129,0.5583126550868487
Blending,501.0,6.370038577690602e-05,0.0,0.012298370389031029,0.016052497215780316,0.19523057748442071,-0.1306642470629097,1.2780068774059083,-0.04445622068496082,0.053497390505110945,-0.00710813192515207,0.007511111843087473,0.49700598802395207
Combined Development,2516.0,0.00044756130650468114,0.0005960775019611107,0.011077521039933919,0.11278544923917964,0.17585019488850454,-0.799552934019573,13.957092760301592,-0.11588670435580446,0.08673086554268049,-0.003727035019340728,0.005709854571068286,0.5461049284578696
