Meta Feature,Base Model,Mean Base OOF ROC-AUC,Base OOF ROC-AUC Std,Excess ROC-AUC,Unnormalised Skill Score,Normalised Weight
P_SVM,Calibrated RBF SVM,0.5274716003160176,0.017640445794711725,0.027471600316017586,1.5573076007100148,0.47202300591895296
P_RF,Random Forest,0.5206760763501832,0.03450259389273092,0.020676076350183203,0.5992615052208954,0.18163734441218815
P_XGB,XGBoost,0.544832290212271,0.039235344894036316,0.044832290212270975,1.1426505956134818,0.34633964966885883
