Model,Base-Model Fit Runtime Seconds,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
XGBoost,7.245098241000051,501.0,0.49500998003992014,0.7964071856287425,0.5149700598802395,0.5179300012750223,0.5458529899273237,0.5442899555852809,0.46995667980059647,0.506265664160401,0.8145161290322581,0.044525610551982245,0.3057506941693656,0.858499913761133
Calibrated RBF SVM,2.356039246000364,501.0,0.49500998003992014,0.998003992015968,0.49700598802395207,0.5019762845849802,0.5035541246971822,0.5061379033980169,0.33548781001305317,0.496,1.0,0.04427724368454291,0.2553894232565614,0.7040559016526564
Random Forest,39.41914259799978,501.0,0.49500998003992014,0.8323353293413174,0.48303393213572854,0.48634929236261637,0.5016734667856687,0.5094749432818891,0.4209901608620959,0.486810551558753,0.8185483870967742,-0.036539583394820205,0.25817292121801644,0.7099782545218619
Elastic-Net Logistic,0.4528682989994195,501.0,0.49500998003992014,1.0,0.49500998003992014,0.5,0.5,0.49500998003992014,0.3311081441922563,0.49500998003992014,1.0,0.0,0.25413124583554353,0.701465857307024
