Model,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
Calibrated RBF SVM,1250.0,0.5712,0.8128,0.544,0.49944604707554663,0.5042879091935282,0.5862862863819316,0.4651302454770663,0.5708661417322834,0.8123249299719888,-0.0014056576910420893,0.24815027137174916,0.6894485783038522
XGBoost,1250.0,0.5712,0.5208,0.5096,0.5067754713825829,0.5042879091935282,0.5618021054103355,0.5054138225944393,0.5775729646697388,0.5266106442577031,0.013424468686853926,0.26915051720547273,0.7370188943190339
Random Forest,1250.0,0.5712,0.5176,0.5064,0.5039743509344037,0.4975385676658723,0.5575230615034606,0.5024768107425013,0.5749613601236476,0.5210084033613446,0.007872576918551177,0.25577222256425136,0.7051606920361765
Dummy Prior,1250.0,0.5712,1.0,0.5712,0.5,0.4967337681341193,0.5718756302521009,0.3635437881873727,0.5712,1.0,0.0,0.24554018515519468,0.684207174167055
Elastic-Net Logistic,1250.0,0.5712,0.2912,0.4512,0.48053848405033656,0.47208025001045195,0.5484934321512867,0.4406086178238077,0.5384615384615384,0.27450980392156865,-0.04240046408898252,0.2805904709599741,0.7613815334949461
