number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_correlation_threshold,params_gamma,params_shrinking,params_tolerance,user_attrs_convergence_warnings,user_attrs_fold_1_auc,user_attrs_fold_2_auc,user_attrs_fold_3_auc,user_attrs_fold_4_auc,user_attrs_fold_5_auc,user_attrs_maximum_auc,user_attrs_mean_retained_features,user_attrs_minimum_auc,user_attrs_runtime_seconds,user_attrs_std_auc,state
17,0.5316684185430082,2026-07-23 06:23:06.589085,2026-07-23 06:23:08.228149,0 days 00:00:01.639064,83.58822122816849,balanced,0.9400000000000001,0.09283429522725316,True,0.0027243657086126758,0.0,0.5051369863013699,0.53954802259887,0.521563965391982,0.5354428721174005,0.5566502463054186,0.5566502463054186,53.8,0.5051369863013699,1.6299707660000422,0.019406463153335416,COMPLETE
18,0.470827359700125,2026-07-23 06:23:08.386301,2026-07-23 06:23:08.679570,0 days 00:00:00.293269,87.6986764478674,balanced,0.9500000000000001,0.009032038493622484,True,0.002253519401283119,,,,,,,,,,,,PRUNED
19,0.4897061885757613,2026-07-23 06:23:08.848397,2026-07-23 06:23:09.130672,0 days 00:00:00.282275,8.821389418415977,balanced,0.9400000000000001,0.07004159699679467,True,0.0018679123627965335,,,,,,,,,,,,PRUNED
20,0.4646551353220728,2026-07-23 06:23:09.289587,2026-07-23 06:23:09.561498,0 days 00:00:00.271911,32.16365368148995,balanced,0.92,0.005248944091243477,True,0.002446440532231551,,,,,,,,,,,,PRUNED
21,0.5293679883354072,2026-07-23 06:23:09.720089,2026-07-23 06:23:11.122671,0 days 00:00:01.402582,50.65339404949697,balanced,0.93,0.1232469009445966,True,0.004821340374413667,0.0,0.5068493150684932,0.5403826399589111,0.5208374611980715,0.53125,0.5475205254515599,0.5475205254515599,52.6,0.5068493150684932,1.389728951000052,0.016079798358413677,COMPLETE
22,0.4839145888164927,2026-07-23 06:23:11.281683,2026-07-23 06:23:11.655033,0 days 00:00:00.373350,80.17163601379076,balanced,0.93,0.03222044157933249,True,0.0056484534523102686,,,,,,,,,,,,PRUNED
23,0.5283451609788365,2026-07-23 06:23:11.860986,2026-07-23 06:23:13.776608,0 days 00:00:01.915622,98.33280316998972,none,0.9500000000000001,0.20150211187767914,True,0.0030978070177080205,0.0,0.5093519494204426,0.5575243965074473,0.5256588072122053,0.5146750524109015,0.5345155993431856,0.5575243965074473,57.2,0.5093519494204426,1.8991458210000474,0.019002187675126434,COMPLETE
24,0.4941359115886048,2026-07-23 06:23:13.997614,2026-07-23 06:23:14.516483,0 days 00:00:00.518869,20.371781274060364,balanced,0.92,0.08150038315333745,True,0.001409344078250936,,,,,,,,,,,,PRUNED
25,0.4772198068358388,2026-07-23 06:23:14.735461,2026-07-23 06:23:15.121259,0 days 00:00:00.385798,9.013524073575306,balanced,0.9500000000000001,0.028398521721713733,True,0.005776244958028294,,,,,,,,,,,,PRUNED
26,0.5261466291567065,2026-07-23 06:23:15.281309,2026-07-23 06:23:16.392940,0 days 00:00:01.111631,48.193880425394866,none,0.93,0.3057271293668697,True,0.0009310623615529088,0.0,0.5133693361433087,0.5458397534668722,0.5166105277062282,0.5241417714884696,0.5307717569786535,0.5458397534668722,52.6,0.5133693361433087,1.1027474379998239,0.012917302875977192,COMPLETE
27,0.5280940861949827,2026-07-23 06:23:16.556787,2026-07-23 06:23:17.916409,0 days 00:00:01.359622,27.579703833419405,balanced,0.9400000000000001,0.10650906454011047,True,0.0029214076356284735,0.0,0.5005927291886196,0.536145351823318,0.5135724192589657,0.5208988469601677,0.5692610837438423,0.5692610837438423,53.8,0.5005927291886196,1.3502918969998063,0.02635583180647166,COMPLETE
28,0.4657756143709243,2026-07-23 06:23:18.074759,2026-07-23 06:23:18.359042,0 days 00:00:00.284283,3.151253488053762,none,0.91,0.04912709557550536,True,0.0016629475431534457,,,,,,,,,,,,PRUNED
29,0.46380664939116295,2026-07-23 06:23:18.519723,2026-07-23 06:23:18.793598,0 days 00:00:00.273875,57.26342293470002,balanced,0.92,0.004928146397236462,True,0.0008189593606003078,,,,,,,,,,,,PRUNED
