Lag,Return Autocorrelation,Squared-Return Autocorrelation
1,-0.11936911915967742,0.46200605302154046
2,0.07120467892265393,0.547146696846655
3,-0.008494539526146962,0.36595013970219825
4,-0.06019179039788474,0.34787339342641316
5,0.045351130670477996,0.3261682471137357
6,-0.10841149311391274,0.3786105610609896
7,0.14110964848071378,0.2823960620273416
8,-0.11985606904379373,0.33225926312530973
9,0.12522727449993698,0.2556251243507824
10,-0.052291489772765924,0.2523681546124171
11,0.012071431550071269,0.22147284489335126
12,0.016875673563523864,0.1759493018773379
13,-0.06718891011721838,0.17199819778474754
14,0.05361361339423443,0.1626571277137591
15,-0.09245273514046637,0.18313420658704355
16,0.061785318054730726,0.12778405993584457
17,-0.021994519907079547,0.1527594537966733
18,0.02801240836569986,0.09658519077108146
19,-0.0054263315231431065,0.06958376713106905
20,-0.020739370239150245,0.11796955182044531
