Date,XGBoost Standalone,Equal-Weight Voting: Four Models,Equal-Weight Voting: Three Models,Development-Skill-Weighted Voting,Logistic Blending: Four Models,Logistic Blending: Three Models
2022-05-06,0.8534345626831055,0.6478977723773773,0.6773709767426154,0.6769599810843452,0.49808984208860946,0.49808984208860957
2022-05-09,0.8331213593482971,0.6535869904196617,0.6849566007989946,0.6778006987041587,0.49018293194935875,0.49018293194935875
2022-05-10,0.49302804470062256,0.5302074748315553,0.5204505800148526,0.5291029143016974,0.3874303635265223,0.3874303635265223
2022-05-11,0.6477633714675903,0.5904813429732385,0.6008157375370969,0.5979401187722894,0.42980537207054464,0.42980537207054464
2022-05-12,0.7178433537483215,0.6159942222690299,0.6348329099314854,0.6311037601126002,0.4552272619666841,0.4552272619666841
2022-05-13,0.5590982437133789,0.56393512333534,0.565420778019899,0.5641983260198665,0.40397336396023087,0.4039733639602309
2022-05-16,0.7682159543037415,0.6273169225237113,0.649929843604394,0.6491921326926303,0.4736420701865796,0.4736420701865796
2022-05-17,0.7559926509857178,0.6101423430499302,0.6270304043060192,0.6321285883623635,0.46769098316442304,0.46769098316442304
2022-05-18,0.8836081027984619,0.6692402626494413,0.7058276304387006,0.6963106638616298,0.5033570801000483,0.5033570801000483
2022-05-19,0.534932553768158,0.5520774314850757,0.5496105222195465,0.5542063959650501,0.40192309935032233,0.40192309935032233
2022-05-20,0.36459723114967346,0.5086245654209068,0.4916733674673213,0.4933327457528189,0.35048626106145003,0.35048626106145003
2022-05-23,0.8312484622001648,0.6396892578475607,0.6664262907028599,0.6662323004978534,0.48972657057443,0.48972657057443
2022-05-24,0.8048326969146729,0.6375924114974125,0.6636304955693288,0.6599520547736766,0.4801337392519002,0.48013373925190034
2022-05-25,0.8556553721427917,0.6452460920414071,0.6738354029613217,0.673974085011565,0.49684582359319157,0.49684582359319157
2022-05-26,0.33965495228767395,0.49254541771392757,0.47023450385801563,0.4745891159509249,0.3403179871946571,0.3403179871946571
2022-05-27,0.7695618867874146,0.5989041943721642,0.6120462060689978,0.6236436726075139,0.4698257385413623,0.4698257385413623
2022-05-31,0.853147029876709,0.6604742339543559,0.6941395921785868,0.6893849099115479,0.5017151006334343,0.5017151006334343
2022-06-01,0.7846525311470032,0.6331134721894506,0.6576585764920464,0.6565622437076686,0.4792373299022885,0.4792373299022885
2022-06-02,0.4855496287345886,0.5323671600751734,0.5233301603396768,0.5293823504621616,0.3845350433609624,0.3845350433609624
2022-06-03,0.643012285232544,0.5942061556856254,0.6057821544869461,0.6026774045339232,0.43232222121050745,0.43232222121050745
2022-06-06,0.8271691203117371,0.6446772277539747,0.6730769172447454,0.672924143423479,0.4939115902512945,0.4939115902512945
2022-06-07,0.8517849445343018,0.6359752250095136,0.6614742469187971,0.6610475824082614,0.487453816316827,0.487453816316827
2022-06-08,0.8572743535041809,0.6520577593816039,0.6829176260815841,0.6784806085512605,0.49512693287239046,0.49512693287239046
2022-06-09,0.5967200994491577,0.5769073743213042,0.5827171126678513,0.5798213852044255,0.41472460635627867,0.41472460635627867
2022-06-10,0.8129408359527588,0.6380925196090397,0.6642973063848318,0.6608525455916441,0.481522625486422,0.481522625486422
2022-06-13,0.7500860691070557,0.6128196953157069,0.6306002073270548,0.6315776799236434,0.46262299251432504,0.46262299251432504
2022-06-14,0.6813721656799316,0.5772895098125894,0.5832266266562315,0.5951140658418046,0.44547718328182495,0.44547718328182495
