Candidate,Mean Fold ROC-AUC,Fold ROC-AUC Std,Minimum Fold ROC-AUC,Maximum Fold ROC-AUC,Pooled ROC-AUC,Pooled Brier Score,Pooled Log Loss,Selected Threshold,Threshold-Adjusted Balanced Accuracy,Threshold-Adjusted Macro F1,Threshold-Adjusted MCC,Threshold-Adjusted Positive Rate
Development-Skill-Weighted Voting,0.5587053659132889,0.09317064989845691,0.43380614657210403,0.6794871794871795,0.5324506387921022,0.26157302892855133,0.7179041371064896,0.62,0.540301974448316,0.5390739028545842,0.08092035423047013,0.45542168674698796
Equal-Weight Voting: Four Models,0.5551372873138822,0.09467433287053867,0.4296690307328605,0.675990675990676,0.5282229965156795,0.2581583651172773,0.7102167366283384,0.61,0.5410569105691057,0.5349962748077273,0.0840637515679319,0.3927710843373494
Equal-Weight Voting: Three Models,0.5551372873138822,0.09467433287053867,0.4296690307328605,0.675990675990676,0.5282229965156795,0.262103948596126,0.7191327875431801,0.63,0.5411730545876887,0.5340340605141409,0.08468590184309667,0.38313253012048193
XGBoost Standalone,0.5544587495925737,0.08688512819659344,0.423758865248227,0.6480186480186481,0.5375145180023229,0.30502414990107674,0.8581431061783346,0.76,0.545993031358885,0.538913285011375,0.09459976623375538,0.38313253012048193
Logistic Blending: Four Models,0.5496730280899935,0.09856999987068508,0.4013002364066195,0.6550116550116551,0.52,0.2556787981682728,0.7050742746824276,0.4,0.5489547038327526,0.5235890979114206,0.11123386784528588,0.7373493975903614
Logistic Blending: Three Models,0.5496730280899935,0.09856999987068508,0.4013002364066195,0.6550116550116551,0.52,0.25567879816827277,0.7050742746824276,0.4,0.5489547038327526,0.5235890979114206,0.11123386784528588,0.7373493975903614
