Candidate,Selected Threshold,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
XGBoost Standalone,0.76,415.0,0.5060240963855421,0.38313253012048193,0.5445783132530121,0.545993031358885,0.5375145180023229,0.5422227916466651,0.538913285011375,0.5660377358490566,0.42857142857142855,0.09459976623375538,0.30502414990107674,0.8581431061783346
Development-Skill-Weighted Voting,0.62,415.0,0.5060240963855421,0.45542168674698796,0.5397590361445783,0.540301974448316,0.5324506387921022,0.5362039148231492,0.5390739028545842,0.5502645502645502,0.49523809523809526,0.08092035423047013,0.26157302892855133,0.7179041371064896
Equal-Weight Voting: Three Models,0.63,415.0,0.5060240963855421,0.38313253012048193,0.5397590361445783,0.5411730545876887,0.5282229965156795,0.5327939205267251,0.5340340605141409,0.559748427672956,0.4238095238095238,0.08468590184309667,0.262103948596126,0.7191327875431801
Equal-Weight Voting: Four Models,0.61,415.0,0.5060240963855421,0.3927710843373494,0.5397590361445783,0.5410569105691057,0.5282229965156795,0.5327939205267251,0.5349962748077273,0.558282208588957,0.43333333333333335,0.0840637515679319,0.2581583651172773,0.7102167366283384
Logistic Blending: Four Models,0.4,415.0,0.5060240963855421,0.7373493975903614,0.5518072289156627,0.5489547038327526,0.52,0.515842589917522,0.5235890979114206,0.5392156862745098,0.7857142857142857,0.11123386784528588,0.2556787981682728,0.7050742746824276
Logistic Blending: Three Models,0.4,415.0,0.5060240963855421,0.7373493975903614,0.5518072289156627,0.5489547038327526,0.52,0.515842589917522,0.5235890979114206,0.5392156862745098,0.7857142857142857,0.11123386784528588,0.25567879816827277,0.7050742746824276
