,Observations,Skewness,Excess Kurtosis,Jarque-Bera Statistic,Jarque-Bera p-value,D'Agostino Statistic,D'Agostino p-value,0.5% Quantile,1% Quantile,99% Quantile,99.5% Quantile
Base Training,2015.0,-1.0350703068718445,19.07713522529805,30753.961017547674,0.0,749.7787479112808,1.540329265578738e-163,-0.04240778955922275,-0.030770238388398333,0.02443315160672503,0.03301195171450592
Blending,501.0,-0.1306642470629097,1.2780068774059083,34.20857928861935,3.7299360906789015e-08,16.744844126752785,0.00023115500310025937,-0.0381819243881988,-0.034435224336270595,0.02666043255149133,0.030765481904717798
Combined Development,2516.0,-0.799552934019573,13.957092760301592,20601.33068969796,0.0,745.8358585724725,1.1061171047222585e-162,-0.03974429751097598,-0.032486318754908455,0.026018021030683625,0.03237906072878136
