Candidate,Mean_ROC_AUC,Std_ROC_AUC,Minimum_ROC_AUC,Maximum_ROC_AUC,Mean_Balanced_Accuracy,Mean_Macro_F1,Mean_Brier_Score,Mean_Log_Loss,Mean_Predicted_Positive_Rate
Development-Skill-Weighted Voting,0.5587053659132889,0.09317064989845691,0.43380614657210403,0.6794871794871795,0.4994906427449144,0.4188720222838825,0.2615730289285513,0.7179041371064894,0.8602409638554217
Equal-Weight Voting: Four Models,0.5551372873138822,0.09467433287053867,0.4296690307328605,0.675990675990676,0.49587503473060146,0.40225911276321835,0.2581583651172773,0.7102167366283383,0.8867469879518073
Equal-Weight Voting: Three Models,0.5551372873138822,0.09467433287053867,0.4296690307328605,0.675990675990676,0.5015683071440074,0.42555182007617215,0.262103948596126,0.7191327875431799,0.853012048192771
XGBoost Standalone,0.5544587495925737,0.08688512819659344,0.423758865248227,0.6480186480186481,0.5266970712700624,0.47584540825789035,0.30502414990107674,0.8581431061783344,0.7903614457831326
Logistic Blending: Four Models,0.5496730280899935,0.09856999987068508,0.4013002364066195,0.6550116550116551,0.4958354972986519,0.4132029930706895,0.25567879816827277,0.7050742746824276,0.18313253012048195
Logistic Blending: Three Models,0.5496730280899935,0.09856999987068508,0.4013002364066195,0.6550116550116551,0.4958354972986519,0.4132029930706895,0.25567879816827277,0.7050742746824276,0.18313253012048195
